property_type,place,area,furnishing_details,society,bedrooms,bathroom,balcony,price_per_sqft,price,latitude,longitude
house,bopal,3150.0,unfurnished,sharnam county,4,4.0,2.0,13651.0,4.3,23.02353855,72.47052697610516
house,memnagar,3240.0,semi-furnished,,3,3.0,3.0,9259.0,3.0,23.0516973,72.535169
house,naroda,1629.0,unfurnished,jyoti elegance,3,3.0,1.0,6446.0,1.05,23.0732586,72.6508299
house,vastral,1764.0,semi-furnished,,3,3.0,2.0,15873.0,2.8,22.9948656,72.6624431
house,shilaj,3150.0,furnished,,4,4.0,2.0,14603.0,4.6,23.0544372,72.4720756
house,thaltej,4500.0,furnished,,4,5.0,1.0,22222.0,10.0,23.0485393,72.511742
house,manipur,1800.0,furnished,,3,3.0,2.0,11111.0,2.0,23.0330965,72.42603765663131
house,bopal,1701.0,unfurnished,,4,4.0,1.0,8289.0,1.41,23.02353855,72.47052697610516
house,chandkheda,1800.0,semi-furnished,soham devrath,3,3.0,2.0,11667.0,2.1,23.1100643,72.5811205
house,shela,4950.0,unfurnished,poonam pride,5,5.0,2.0,10101.0,5.0,23.0108213,72.44271186959236
house,khodiyar,3150.0,furnished,,4,4.0,2.0,9524.0,3.0,23.1559206,72.5483
house,vejalpur,1080.0,unfurnished,saket3,2,2.0,1.0,0.0,0.75,23.0069372,72.5208415
house,bopal,3240.0,unfurnished,,4,5.0,2.0,11728.0,3.8,23.02353855,72.47052697610516
house,nava vadaj,1350.0,furnished,,4,3.0,1.0,11111.0,1.5,23.0682238,72.5640995
house,ghatlodiya,2250.0,unfurnished,,2,2.0,2.0,6444.0,1.45,23.075569,72.549728
house,thaltej,5166.0,unfurnished,vrundavan bunglows 7,5,5.0,3.0,16454.0,8.5,23.0485393,72.511742
house,bhadaj,2844.0,unfurnished,supercity dream,4,5.0,2.0,13186.0,3.75,23.0868734,72.4835036
house,sanathal,4500.0,semi-furnished,the meadows,4,5.0,1.0,40000.0,18.0,22.9645191,72.4704112
house,bopal,2250.0,furnished,,4,4.0,1.0,15556.0,3.5,23.02353855,72.47052697610516
house,jivraj park,1200.0,semi-furnished,,3,2.0,2.0,7917.0,0.95,23.0063315,72.536517
house,nikol,1620.0,semi-furnished,,3,3.0,2.0,5123.0,0.83,23.0589329,72.6718736720388
house,shela,6102.0,furnished,vraj garden,5,6.0,2.0,16388.0,10.0,23.0108213,72.44271186959236
house,bopal,6000.0,unfurnished,,4,5.0,4.0,30000.0,18.0,23.02353855,72.47052697610516
house,vaishnodevi circle,3375.0,semi-furnished,sentossa greens,3,4.0,2.0,8593.0,2.9,23.136343132120857,72.54237623802707
house,ghatlodiya,2358.0,semi-furnished,madhuvrund,4,2.0,2.0,10602.0,2.5,23.075569,72.549728
house,bopal,1080.0,unfurnished,,4,3.0,1.0,11574.0,1.25,23.02353855,72.47052697610516
house,shilaj,5000.0,unfurnished,,4,2.0,1.0,11500.0,5.75,23.0544372,72.4720756
house,new cg road,1035.0,furnished,,2,3.0,1.0,8213.0,0.85,23.1089092,72.5952869
house,kasindra,3105.0,semi-furnished,rameshwar bungalows and arcade 11,4,4.0,1.0,3543.0,1.1,22.8927975,72.4910926
house,old wadaj,400.0,semi-furnished,,1,1.0,1.0,4500.0,0.18,23.06302783235717,72.57740522539777
house,chandkheda,2150.0,unfurnished,,4,5.0,1.0,13953.0,3.0,23.1100643,72.5811205
house,bapunagar,1395.0,unfurnished,,3,3.0,1.0,4588.0,0.64,23.032436850000003,72.63135659282611
house,chandkheda,1350.0,unfurnished,,5,4.0,2.0,14074.0,1.9,23.1100643,72.5811205
house,nana chiloda,1260.0,unfurnished,,3,3.0,2.0,7937.0,1.0,23.10851629258663,72.66177164259034
house,vatva,1480.0,unfurnished,,4,2.0,1.0,4392.0,0.65,22.9589978,72.6297981
house,ghodasar,2115.0,semi-furnished,,5,3.0,3.0,5674.0,1.2,22.99124285,72.61642315668566
house,bhadaj,3294.0,unfurnished,super city,4,4.0,1.0,12902.0,4.25,23.0868734,72.4835036
